Model_Name,Accuracy,Precision,F1,Recall,Kappa
resnet18,0.14285714285714285,0.02857142857142857,0.05,0.2,0.0
cnn8,0.14285714285714285,0.02857142857142857,0.05,0.2,0.0
densenet121,0.2857142857142857,0.05714285714285714,0.08888888888888889,0.2,0.0
resnet18,0.14285714285714285,0.02857142857142857,0.05,0.2,0.0
cnn8,0.14285714285714285,0.02857142857142857,0.05,0.2,0.0
densenet121,0.2857142857142857,0.05714285714285714,0.08888888888888889,0.2,0.0
resnet18,0.14285714285714285,0.02857142857142857,0.05,0.2,0.0
cnn8,0.14285714285714285,0.02857142857142857,0.05,0.2,0.0
densenet121,0.2857142857142857,0.05714285714285714,0.08888888888888889,0.2,0.0
